Name (optional),Years of experience in programming,How do you rate your expertise in programming languages selection?,JavaScript [Ease of use],JavaScript [Ease of learning],JavaScript [Readability],JavaScript [Ecosystem Maturity],JavaScript [Popularity],JavaScript [Development Speed],JavaScript [Efficiency],JavaScript [Scalability],Java [Ease of use],Java [Ease of learning],Java [Readability],Java [Ecosystem Maturity],Java [Popularity],Java [Development Speed],Java [Efficiency],Java [Scalability],Python [Ease of use],Python [Ease of learning],Python [Readability],Python [Ecosystem Maturity],Python [Popularity],Python [Development Speed],Python [Efficiency],Python [Scalability],PHP [Ease of use],PHP [Ease of learning],PHP [Readability],PHP [Ecosystem Maturity],PHP [Popularity],PHP [Development Speed],PHP [Efficiency],PHP [Scalability],Go [Ease of use],Go [Ease of learning],Go [Readability],Go [Ecosystem Maturity],Go [Popularity],Go [Development Speed],Go [Efficiency],Go [Scalability],Rust [Ease of use],Rust [Ease of learning],Rust [Readability],Rust [Ecosystem Maturity],Rust [Popularity],Rust [Development Speed],Rust [Efficiency],Rust [Scalability]
Mohammad Anas Fares,15 - 20 Years,Very Good,VH,H,H,VH,EH,EH,AA,AA,A,A,AA,VH,VH,BA,H,VH,H,H,AA,AA,A,A,BA,AA,AA,AA,A,AA,AA,H,BA,BA,AA,BA,BA,AA,AA,H,VH,VH,A,A,BA,AA,BA,BA,ExH,EH
Ibrahim,5 - 10 Years,Good,AA,H,BA,VH,EH,VH,L,AA,BA,L,L,AA,A,L,VH,VH,VH,EH,VH,EH,EH,VH,L,H,AA,AA,L,AA,BA,H,BA,H,AA,H,H,A,AA,A,VH,EH,BA,L,L,A,A,L,ExH,ExH
Mohamed Bakour,5 - 10 Years,Good,EH,EH,VH,ExH,ExH,EH,VH,VH,AA,A,AA,VH,EH,A,H,H,ExH,ExH,EH,ExH,ExH,ExH,L,AA,AA,AA,L,AA,A,BA,BA,BA,AA,AA,A,A,AA,AA,ExH,ExH,L,L,L,A,A,L,ExH,EH
Dan,Less than 5 years,Medium,AA,AA,A,VH,H,H,AA,H,A,A,AA,VH,H,A,H,VH,VH,VH,VH,VH,H,H,A,AA,AA,AA,A,VH,H,H,AA,H,AA,AA,H,AA,AA,AA,VH,VH,BA,BA,AA,AA,AA,A,VH,VH
HilmiGas,Less than 5 years,Medium,L,BA,A,VH,EH,H,A,AA,A,BA,BA,H,AA,H,AA,BA,VH,EH,VH,L,ExH,ExL,L,H,H,BA,BA,AA,H,AA,A,AA,BA,AA,AA,H,L,AA,H,VH,A,BA,A,VL,EL,VH,EH,VH
J,Less than 5 years,Medium,EL,VL,EL,VL,VL,EL,VL,ExL,EL,VL,EL,ExL,EL,EL,ExL,ExL,ExL,ExL,ExL,ExL,ExL,ExL,ExL,ExL,EL,VL,L,L,EL,BA,EL,EL,VL,EL,EL,VL,VL,ExL,L,BA,L,BA,L,H,A,A,A,BA
AHMED,Less than 5 years,Good,H,AA,A,EH,ExH,VH,A,AA,AA,A,H,EH,VH,A,H,VH,ExH,ExH,VH,EH,ExH,VH,BA,A,H,H,A,H,AA,H,AA,AA,AA,AA,H,A,AA,H,VH,VH,BA,L,AA,A,BA,BA,EH,H
Muftah,Less than 5 years,Medium,L,BA,L,A,EH,EH,VH,H,EL,EL,EL,EL,VH,H,H,H,EH,H,EH,EH,ExH,ExH,VH,H,VL,VL,L,L,AA,BA,BA,BA,L,L,L,L,L,L,L,L,L,L,VL,BA,A,A,A,A
Mohamad,Less than 5 years,Poor,VL,VL,EL,EL,VL,EL,EL,VL,VL,EL,ExL,VL,L,L,VL,VL,EL,VL,EL,VL,EL,VL,EL,EL,ExL,ExL,ExL,ExL,ExL,ExL,ExL,ExL,ExL,EL,EL,ExL,ExL,ExL,ExL,ExL,ExL,ExL,EL,ExL,EL,VL,ExL,ExL
Shams,Less than 5 years,Medium,EL,EL,EL,EL,EL,ExL,EL,VL,ExL,EL,VL,VL,EL,ExL,EL,VL,EL,EL,VL,VL,ExL,ExL,ExL,VL,ExL,EL,EL,EL,EL,EL,VL,VL,EL,EL,EL,VL,VL,ExL,EL,EL,ExL,ExL,EL,EL,EL,VL,VL,VL
Humam,Less than 5 years,Medium,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,EL,EL,EL,EL,EL,EL,EL,EL,ExL,ExL,ExL,ExL,ExL,ExL,ExL,ExL,ExL,ExL,ExL,ExL,ExL,ExL,ExL,ExL,ExL,ExL,ExL,ExL,ExL,ExL,ExL,ExL
,Less than 5 years,Good,H,AA,A,AA,H,AA,BA,BA,A,A,AA,H,AA,A,AA,H,EH,ExH,ExH,EH,EH,H,A,AA,H,H,AA,H,A,AA,A,A,H,A,AA,A,A,AA,VH,VH,BA,L,A,AA,A,BA,EH,H
,Less than 5 years,Good,VH,VH,VH,ExH,ExH,H,ExH,ExH,ExL,EL,BA,L,VH,AA,ExH,ExH,ExH,ExH,ExH,VH,ExH,ExH,ExH,ExH,AA,AA,BA,AA,VH,BA,EH,H,EH,EH,EH,EH,AA,VH,EH,EH,AA,AA,AA,AA,EH,EH,ExH,ExH
,Less than 5 years,Medium,AA,H,H,A,VH,VH,AA,H,A,AA,AA,A,VH,VH,VH,VH,VH,VH,VH,AA,VH,VH,AA,H,L,AA,BA,A,L,L,AA,A,L,L,VL,L,ExL,L,BA,L,VL,VL,EL,EL,ExL,VL,L,L
